"","Review_No.","Brand","type_of_ramen","Style","Country","Stars"
"752",752,"Nongshim","Bowl Noodle Savory Tempura Udon","Bowl","USA",3.5
"753",753,"Nongshim","Soba","Pack","South Korea",4.25
"754",754,"Nongshim","Ansungtangmyun (US Version)","Pack","USA",3.75
"755",755,"Nongshim","Udon ","Bowl","South Korea",4.25
"756",756,"Daikoku","Bikkuchigekara Big Chige","Bowl","Japan",3.75
"757",757,"Indomie","Mi Goreng Vegan","Pack","Indonesia",4.25
"758",758,"JML","Artificial Stew Pork","Bowl","China",3.25
"759",759,"Nongshim","Bowl Noodle Savory Lobster (New)","Bowl","USA",3.75
"760",760,"Nissin","Big Cup Noodles Roast Chicken","Cup","USA",3.25
"761",761,"Thai Kitchen","Garlic Vegetable Rice Noodle","Pack","USA",3.5
"762",762,"Long Kow","Kimchi Pickle Bean Vermicelli","Pack","Taiwan",1.5
"763",763,"Maggi","2 Minute Noodles Tricky Tomato","Pack","India",3.25
"764",764,"Sempio","Seafood Noodle Cup","Bowl","South Korea",3.5
"765",765,"Super Bihun","Kuah Rice Noodles","Pack","Indonesia",4.5
"766",766,"Fashion Foods","Beef Pho","Bowl","Thailand",3.75
"767",767,"Fashion Foods","Mushroom Vegetarian","Bowl","Thailand",1.75
"768",768,"Fashion Foods","Oriental","Bowl","Thailand",0.25
"769",769,"Nissin","Cup Noodles Shrimp Picante Style","Cup","USA",3.25
"770",770,"Kailo","Chicken","Pack","Hong Kong",3.5
"771",771,"Mi Sedaap","Mi Kuah Rasa Ayam Bawang","Pack","Indonesia",4
"772",772,"Nongshim","Bowl Noodle Hot & Spicy Beef (New)","Pack","USA",3.5
"773",773,"Little Cook","TVP Stewed Pork","Bowl","Thailand",3.5
"774",774,"Indomie","Rasa Sup Sayuran Vegan","Pack","Indonesia",2.25
"775",775,"JML","Seafood","Bowl","China",3
"776",776,"Sarimi","Isi 2 Rasa Kari spesial","Pack","Indonesia",3.75
"777",777,"Mr. Noodles","Oriental","Pack","Canada",2.75
"778",778,"Mamee","Express Cup Curry","Cup","Malaysia",2.5
"779",779,"Indomie","Mi Goreng Kriuuk Ayam","Pack","Indonesia",3.75
"780",780,"Ottogi","Jin Ramen (Mild) (Import)","Pack","South Korea",3.5
"781",781,"Vina Acecook","Kingcook Beef","Pack","Vietnam",3
"782",782,"Nongshim","Bowl Noodle Savory Shrimp (New)","Bowl","USA",3.25
"783",783,"Nissin","Cup Noodles Salsa Picante Chicken","Cup","USA",3
"784",784,"Hankow","Cai Lin Ji Dry Noodles","Tray","China",3.25
"785",785,"Sarimi","Isi 2 Rasa Soto","Pack","Indonesia",3.5
"786",786,"Mr. Noodles","Beef","Pack","Canada",3
"787",787,"Emart","Ramen E Ramen White Broth","Pack","South Korea",5
"788",788,"Uni-President","100 Beef With Sauerkraut","Pack","Taiwan",4.75
"789",789,"SuperMi","GoKar","Pack","Indonesia",4
"790",790,"GreeNoodle","Shiitake & Soy Sauce","Pack","Thailand",1.5
"791",791,"Acecook","Super Big Ramen Tonkotsu","Bowl","Japan",1
"792",792,"Nongshim","Bowl Noodle Spicy Chicken (New)","Bowl","USA",4.5
"793",793,"Mr. Noodles","Spicy Beef","Pack","Canada",1.75
"794",794,"Sarimi","Soto Koya Jeruk Nipis","Pack","Indonesia",4.75
"795",795,"Master Kong","Red Oil Dan Dan","Tray","China",2.75
"796",796,"Vina Acecook","Kingcook Vegetable","Pack","Vietnam",3
"797",797,"Golden Mie","Vegetable","Pack","Dubai",3.75
"798",798,"Golden Wheat","South Korean Style Pork","Cup","China",3
"799",799,"Nongshim","Bowl Noodle Savory Chicken (New)","Bowl","USA",4.25
"800",800,"Mr. Noodles","Chicken","Pack","Canada",3
"801",801,"Gau Do","Hot Sour Shrimp","Pack","Vietnam",3.75
"802",802,"Sarimi","Isi 2 Mi Goreng Rasa Ayam Kecap","Pack","Indonesia",4.5
"803",803,"Master Kong","Premium Taste Roasted Beef","Bowl","China",4
"804",804,"Little Cook","Abalone Chicken","Cup","Thailand",1.75
"805",805,"Acecook","Super Big Ramen Soy Sauce","Bowl","Japan",1.25
"806",806,"Ohsung","Hot Spicy Bowl With Soy Peptide","Bowl","South Korea",3.5
"807",807,"SuperMi","Super Rasa Ayam Bawang","Pack","Indonesia",4
"808",808,"Kim's Bowl","Vegetarian Tom Yum","Bowl","Thailand",3.5
"809",809,"Nongshim","Neoguri Mild (South Korea)","Pack","South Korea",4
"810",810,"ABC","Selera Pedas Mi Goreng Hot Chicken Lemon","Pack","Indonesia",4.25
"811",811,"Mr. Noodles","Vegetable","Pack","Canada",1.75
"812",812,"Master Kong","Spicy Beef","Pack","China",3.75
"813",813,"Mr. Noodles","Spicy Chicken","Pack","Canada",2
"814",814,"Indomie","Beef","Pack","Indonesia",3.5
"815",815,"Chencun","Stewde Chicken Of Mushroom","Cup","China",3.25
"816",816,"Vina Acecook","Oh! Ricey Phnom Penh Rice Noodle","Pack","Vietnam",3.75
"817",817,"Souper","Bowl Ramen Shrimp","Bowl","Taiwan",3.75
"818",818,"SuperMi","Sedaaap Mi Kuah Rasa Soto","Pack","Indonesia",4
"819",819,"Maruchan","Tempura Soba","Pack","Japan",4
"820",820,"Sunlee","Tom Yum Shrimp Rice Stick","Bowl","Thailand",3.75
"821",821,"Master Kong","Potatoes & Stewed Beef","Pack","China",5
"822",822,"Paldo","Speed King Bowl (Prototype)","Bowl","South Korea",3.5
"823",823,"Paldo","Kokomen Spicy Chicken","Pack","South Korea",5
"824",824,"Paldo","Bibim Men Cucumber","Pack","South Korea",5
"825",825,"Paldo","Shoyu","Cup","Japan",3.25
"826",826,"Paldo","Namja","Pack","South Korea",5
"827",827,"Paldo","Rabokki","Pack","South Korea",4.75
"828",828,"Paldo","Seolleongtangmyeon","Pack","South Korea",3.5
"829",829,"Paldo","Kko Kko Myun King Cup","Bowl","South Korea",4.75
"830",830,"Seven-Eleven","Seven & I Shoyu","Cup","Japan",4.5
"831",831,"Vifon","Instant Porridge Chicken","Pack","Vietnam",3.25
"832",832,"Dragonfly","Mee Goreng Dry Ramen Noodles","Pack","China",3.75
"833",833,"Wai Wai","Vegetarian","Pack","Thailand",3.5
"834",834,"Indomie","Mi Goreng Kriuuk Pedas","Pack","Indonesia",3.75
"835",835,"Mr. Noodles","Shrimp","Pack","Canada",2.5
"836",836,"Binh Tay","Mi Chay Vegetarian","Pack","Vietnam",3.5
"837",837,"Nissin","Top Ramen Cucharealo Picante Chicken","Pack","USA",4.5
"838",838,"Sarimi","Soto Koya Gurih","Pack","Indonesia",4
"839",839,"CJ CheilJedang","Mild Bean Curd Stew","Cup","South Korea",2
"840",840,"Chewy","Stir Rice Vermicelli Singaporean Laksa","Tray","China",3.75
"841",841,"Nongshim","Chapagetti (South Korean)","Pack","South Korea",4
"842",842,"JML","Artificial Stew Beef","Bowl","China",3.75
"843",843,"Nissin","Top Ramen Short Cuts Beef","Pack","USA",3.5
"844",844,"Maggi","2 Minute Noodles Perencah Asam Laksa","Pack","Malaysia",4
"845",845,"Nongshim","Doong Ji Cold Noodle Chilled Broth","Pack","South Korea",4.25
"846",846,"Vifon","Mi Kim Chee","Pack","Vietnam",3.75
"847",847,"Itomen","Sansai Soba Edible Wld Plant","Bowl","Japan",3.25
"848",848,"Golden Wheat","South Korean Style Spicy Pork","Cup","China",3.5
"849",849,"Nissin","Top Ramen Cucharealo Tomato Chicken","Pack","USA",3.5
"850",850,"Nissin","Top Ramen Short Cuts Chicken","Pack","USA",4
"851",851,"Dragonfly","Artificial Pork Ribs","Bowl","China",3.5
"852",852,"SuperMi","Sedaaap Mi Kuah Rasa Kari Ayam","Pack","Indonesia",4
"853",853,"Dongwon","RaUdong Unfried Noodle With Kimchi","Bowl","South Korea",4.5
"854",854,"Long Kow","Crystal Noodles Hot & Sour","Bowl","China",3.5
"855",855,"Vina Acecook","Bestcook Hot & Sour Shrimp","Bowl","Vietnam",4.25
"856",856,"Little Cook","Mushroom Vegetarian","Bowl","Thailand",4.75
"857",857,"Sempio","Seafood Vermicelli Anchovy","Bowl","South Korea",4.25
"858",858,"Indomie","Rasa Mi Cakalang","Pack","Indonesia",4.5
"859",859,"Tradition","Imitation Chicken Vegetarian","Cup","USA",3.75
"860",860,"Baijia","Artificial Pickled Cabbage Fish","Pack","China",2.75
"861",861,"Vina Acecook","Hao Hao Mi Chay Vegetarian","Pack","Vietnam",3.25
"862",862,"Nissin","Top Ramen Short Cuts Roast Chicken","Pack","USA",4.25
"863",863,"Indomie","Special Fried Curly Noodle (Local)","Pack","Indonesia",5
"864",864,"Unif / Tung-I","Chinese Spices Tong Tsai Bean Vermicelli","Pack","Taiwan",3.5
"865",865,"Little Cook","Stewed Duck","Cup","Thailand",3
"866",866,"Master Kong","Mianba","Pack","China",4
"867",867,"Indomie","Rasa Coto Makassar","Pack","Indonesia",4
"868",868,"CJ CheilJedang","Katsuobushi Udon","Bowl","South Korea",3.75
"869",869,"Vina Acecook","Good Chicken Bean Vermicelli","Pack","Vietnam",3.25
"870",870,"SuperMi","Mi Keriting Rasa Ayam Bawang","Pack","Indonesia",3.75
"871",871,"Dragonfly","Artificial Hot & Sour Shrimp","Pack","China",4
"872",872,"Nongshim","Chapagetti","Bowl","USA",5
"873",873,"Vifon","Viet Rice Noodles Chicken","Pack","Vietnam",3.5
"874",874,"Fuji Mengyo","Nabeyaki Udon","Bowl","Japan",3.5
"875",875,"Sunlee","Artificial Chicken Rice Vermicelli","Bowl","Thailand",2.5
"876",876,"Sarimi","Soto Koya Pedasss","Pack","Indonesia",3.25
"877",877,"Nongshim","Shin Bowl (New)","Bowl","USA",4.25
"878",878,"Nissin","Top Ramen Short Cuts Lime Chili","Pack","USA",3.75
"879",879,"Song Hak","Rice Topokki","Bowl","South Korea",5
"880",880,"Golden Wheat","South Korean Style Seafood","Cup","China",2.75
"881",881,"Han's South Korea","Rice Noodle With Hot & Spicy","Tray","South Korea",3.25
"882",882,"SuperMi","GoBang","Pack","Indonesia",5
"883",883,"Yamachan","Shio Ramen Seafood Mild","Pack","USA",4.5
"884",884,"Yamachan","Miso Ramen - Mild","Pack","USA",4
"885",885,"Yamachan","Miso Ramen Rich Sapporo Miso","Pack","USA",5
"886",886,"Yamachan","Tonkotsu-Shoyu Rich Pork Flavor Ramen","Pack","USA",4.75
"887",887,"Yamachan","Cold Noodles With Lemon Soy Dressing","Pack","USA",4
"888",888,"Yamachan","Nagasaki Sara Udon Chicken ","Pack","USA",4.25
"889",889,"Yamachan","Rich Shoyu Ramen","Pack","USA",4
"890",890,"Unif / Tung-I","Mushroom Flavor Ramen Noodles","Pack","Vietnam",3.5
"891",891,"Vina Acecook","Hao Hao Mushroom","Pack","Vietnam",2.75
"892",892,"ABC","Selera Pedas Hot Tomato Soup Flavor","Pack","Indonesia",4.5
"893",893,"Paldo","Bowl Noodle Shrimp Flavor","Bowl","South Korea",3.25
"894",894,"Han's South Korea","Rice Noodle With Kimchi Flavored Soup","Tray","South Korea",3
"895",895,"SuperMi","Sedaaap Mi Goreng","Pack","Indonesia",5
"896",896,"Vina Acecook","Good Tomyum Kung Bean Vermicelli","Pack","Vietnam",3.5
"897",897,"FMF","Chow Masala","Pack","Fiji",4
"898",898,"Long Kow","Crystal Noodles Savory Shoyu","Cup","China",1.5
"899",899,"FMF","Chow Tomato ","Pack","Fiji",4.25
"900",900,"Maruchan","Instant Lunch Chicken","Cup","USA",3.5
"901",901,"Sarimi","Rasa Ayam Bawang","Pack","Indonesia",3.5
"902",902,"Sunlee","Pho Bo Beef Flavour Rice Stick","Bowl","Thailand",3.25
"903",903,"Han's South Korea","Rice Noodle With Seafood Flavored Soup","Tray","South Korea",3.5
"904",904,"Myojo","Ippei-chan Yomise-No Yakisoba Oriental","Tray","Japan",4.75
"905",905,"Tradition","Vegetable Instant Noodle soup","Cup","USA",3.25
"906",906,"Daddy","Kari 365 Curry Flavour","Pack","Malaysia",5
"907",907,"Nongshim","Neoguri Spicy Seafood","Cup","South Korea",4
"908",908,"Sapporo Ichiban","Original Flavor","Cup","USA",3.5
"909",909,"Indomie","Kriuuk Bawang","Pack","Indonesia",4.25
"910",910,"Paldo","Namja Ramyun","Bowl","South Korea",4.25
"911",911,"Nissin","Top Ramen Cucharealo Habanero Shrimp","Pack","USA",3.75
"912",912,"Maruchan","Instant Lunch Shrimp","Cup","USA",3.75
"913",913,"Nongshim","Spicy Shrimp Cup Ramyun","Cup","South Korea",4.25
"914",914,"Nissin","Ramen Shop Sapporo Miso","Pack","Japan",4
"915",915,"Wai Wai","Casserole Beef Flavour","Pack","Thailand",3.5
"916",916,"Goku Uma","Seafood Flavor Japanese Noodles","Bowl","Japan",4.25
"917",917,"Vina Acecook","Good Chicken Abalone Bean Vermicelli","Pack","Vietnam",3.25
"918",918,"Nongshim","Tempura Udon Flavor Cup Ramyun","Cup","South Korea",4.5
"919",919,"Maruchan","35% Less Sodium Beef","Pack","USA",3.5
"920",920,"Shirakiku","Hot & Spicy Udon","Pack","USA",3
"921",921,"Ottogi","Jjajang Bokki","Bowl","South Korea",3.5
"922",922,"Sunlee","Shitake Mushroom Vernicalli","Bowl","Thailand",1.25
"923",923,"Ibumie","LadMee Hot Pepper","Pack","Malaysia",3.5
"924",924,"Maruchan","35% Less Sodium Chicken","Pack","USA",3.75
"925",925,"Emart","Dare You! Habanero Ramen","Pack","South Korea",3.75
"926",926,"Ibumie","VegeMee Vegetarian Flavour","Pack","Malaysia",2.75
"927",927,"Paldo","Kokomen Spicy Chicken","Bowl","South Korea",4.75
"928",928,"Kamfen","Dried Mix Noodles Artificial Spicy Pork","Tray","China",4
"929",929,"Vina Acecook","Good Artificial Minced Pork Bean Vermicelli","Pack","Vietnam",3.75
"930",930,"Maruchan","35% Less Sodium Beef","Cup","USA",3.5
"931",931,"Kamfen","dried Mix Noodles Soya Bean Paste","Tray","China",3.75
"932",932,"Paldo","Namja Ramen (USA version)","Pack","South Korea",5
"933",933,"Paldo","Kokomen Spicy Chicken","Cup","South Korea",4.5
"934",934,"Nongshim","Jinjja Jinjja Flamin' Hot & Nutty","Pack","USA",5
"935",935,"Maruchan","Beef","Cup","USA",3.5
"936",936,"Yamachan","Mild Tonkotsu","Pack","USA",5
"937",937,"Mama","Shrimp (TOM YUM)","Pack","Thailand",3.75
"938",938,"Maruchan","Yakisoba Four Cheese","Tray","USA",3.75
"939",939,"Pot Noodle","Sweet & Sour","Cup","UK",3.75
"940",940,"Wai Wai","Sour Soup Flavor","Pack","Thailand",3.5
"941",941,"Ko-Lee","Go Noodles Chicken Special","Pack","UK",3.75
"942",942,"Kamfen","E-men Lobster Soup","Pack","China",3.25
"943",943,"Amino","Zurek","Pack","Poland",3.25
"944",944,"Wai Wai","Oriental Style Instant Noodles (Dry method)","Pack","Thailand",3
"945",945,"Pot Noodle","Jamaican Jerk!","Cup","UK",2.75
"946",946,"Right Foods","Dr. McDougall's Vegan Chicken Ramen","Cup","USA",1.75
"947",947,"Maruchan","Yakisoba Jalapeno Cheddar","Tray","USA",4
"948",948,"Trident","Hot & Spicy 2 Minute Noodles","Pack","Australia",3.5
"949",949,"Ko-Lee","Instant Noodles Chicken ","Pack","UK",3.5
"950",950,"Ottogi","Kiss Myon","Cup","South Korea",3.75
"951",951,"Vifon","Pomidorowa (Mild Tomato)","Pack","Poland",4
"952",952,"Pot Noodle","Sweet & Spicy","Cup","UK",3.5
"953",953,"Sakurai Foods","Soy Sauce Ramen","Pack","Japan",4.75
"954",954,"Sakurai Foods","ARCHE Naturküche Japanische Nudelsuppe","Pack","Japan",3.25
"955",955,"Sakurai Foods","Miso Ramen","Bowl","Japan",4
"956",956,"Sakurai Foods","Sesame Noodles","Pack","Japan",5
"957",957,"Sakurai Foods","100% Vegetarian Soy Sauce Flavor","Pack","Japan",4.25
"958",958,"Sakurai Foods","Soy Sauce Ramen","Bowl","Japan",4.25
"959",959,"Sakurai Foods","ARCHE Naturküche Ramen Mit Ingwer","Pack","Japan",3.25
"960",960,"Nissin","Bowl Noodles Hot & Spicy Super Picante","Bowl","USA",3.25
"961",961,"Trident","Chow Mein Soft Noodles","Pack","Australia",2.75
"962",962,"Nongshim","Bowl Noodle Soup Spicy Seafood Flavor (New Version)","Bowl","USA",4.25
"963",963,"Pot Noodle","Mr. Chu’s Golden Noodle No. 7 Sticky Rib","Cup","UK",3.25
"964",964,"Nissin","Raoh Backfat Rich Soy Sauce Flavor","Bowl","Japan",5
"965",965,"Annie Chun's","Noodle Express Chinese Chow Mein","Tray","USA",3.75
"966",966,"Annie Chun's","Ramen House Spring Vegetable Ramen","Pack","USA",4
"967",967,"Annie Chun's","Soup Bowl South Korean Kimchi","Bowl","USA",4.5
"968",968,"Annie Chun's","Noodle Express Teriyaki","Tray","USA",3
"969",969,"Annie Chun's","Soup Bowl Vietnamese Pho","Bowl","USA",4
"970",970,"Annie Chun's","Noodle Express Spicy Szechuan","Tray","USA",2
"971",971,"Annie Chun's","Soup Bowl Chinese Chicken","Bowl","USA",4.25
"972",972,"Springlife","Spinach With Organic Noodles","Pack","China",3
"973",973,"Annie Chun's","Ramen House Spicy Chicken Ramen","Pack","USA",4
"974",974,"Pot Noodle","Chilli Beef Flavour","Cup","UK",2.25
"975",975,"Ottogi","Spaghetti Ramen","Bowl","South Korea",4.5
"976",976,"Nissin","Donbei Tensoba","Bowl","Japan",4
"977",977,"Sun Noodle","Yakisoba","Pack","USA",4.5
"978",978,"Sun Noodle","Ramen Pork Flavor","Tray","USA",5
"979",979,"Sun Noodle","Nama Soba Buckwheat Noodle","Tray","USA",4
"980",980,"Sun Noodle","Cold Ramen Soy Sauce Vinaigrette","Tray","USA",4
"981",981,"S&S","Saimin","Pack","USA",4
"982",982,"Sun Noodle","Ramen Miso Flavor","Tray","USA",5
"983",983,"Sun Noodle","Tantanmen Spicy Sesame (Mild)","Tray","USA",3.75
"984",984,"Sun Noodle","Ramen Shoyu Flavor","Tray","USA",5
"985",985,"Ko-Lee","Go Noodles Thai Hot & Spicy Tom Yum","Cup","UK",1
"986",986,"Paldo","Jong-Gah-Jip Kimchi Ramen","Pack","South Korea",4
"987",987,"Trident","Singapore Soft Noodles","Pack","Australia",2.75
"988",988,"Amino","Ogorkowa","Pack","Poland",3.25
"989",989,"GS25","Gonghwachun Jjamppong","Pack","South Korea",4
"990",990,"Nissin","Pan Asian Kitchen Spicy Pad Thai","Tray","USA",2.75
"991",991,"Prima Taste","Singapore Curry La Mian","Pack","Singapore",5
"992",992,"Prima Taste","Singapore Laksa La Mian","Pack","Singapore",5
"993",993,"Unox","Sate","Pack","Holland",3.5
"994",994,"Wai Wai","Tom Yum Shrimp Flavour","Pack","Thailand",3.25
"995",995,"Ko-Lee","Instant Noodles Beef","Pack","UK",3
"996",996,"Maruchan","Bowl Chicken Flavor","Bowl","USA",4
"997",997,"Sakurai Foods","Miso Stew Instant Udon (Winter)","Pack","Japan",4.25
"998",998,"Nongshim","Shin Ramyun Black Spicy Beef","Cup","South Korea",4.5
"999",999,"Pot Noodle","Tony's Doner Kebab","Cup","UK",1.5
"1000",1000,"Maruchan","Yakisoba Beef Taco Flavor","Tray","USA",4.25
"1001",1001,"Paldo","ДОШИРАК (Dosirac) Beef Flavor","Pack","South Korea",3.5
"1002",1002,"Mr. Noodles","Bowl Spicy Chicken Simulated Flavour","Bowl","Canada",2
"1003",1003,"Nissin","Chow Mein Spicy Teriyaki Beef","Tray","USA",4.5
"1004",1004,"Wai Wai","Artificial Pork Flavour","Pack","Thailand",3
"1005",1005,"Four Seas","Chicken Flavour","Bowl","China",2.75
"1006",1006,"Amino","Barszcz czerwony (Borscht)","Pack","Poland",4
"1007",1007,"Nissin","Demae Ramen Sesame Oil Flavour Noodles With Soup Base","Bowl","Hong Kong",4.5
"1008",1008,"Ottogi","Sesame Flavor Noodle Bowl","Bowl","South Korea",3.5
"1009",1009,"Western Family","Instant Noodles In A Cup Oriental","Cup","Canada",2
"1010",1010,"Golden Wheat","Korean Style Spicy Beef Noodle Soup","Bowl","China",3.75
"1011",1011,"Maruchan","Bowl Hot & Spicy Chicken Flavor Ramen Noodles With Vegetables","Bowl","USA",4
"1012",1012,"Unox","Good Noodles Oosterse Kip (Oriental Chicken)","Pack","Holland",3.5
"1013",1013,"Vina Acecook","Oh! Ricey Hủ Tiếu Sườn Heo (Pork Spareribs Flavour)","Pack","Vietnam",3.5
"1014",1014,"Nissin","King Spa Oh Peperoncino Spaghetti (日清生タイプSpa王 ペペロンチーノ)","Bowl","Japan",4.25
"1015",1015,"Tradition","Oriental Style Ramen Noodle Soup","Pack","USA",2.75
"1016",1016,"Nissin","Big Cup Noodles Habanero Lime Chicken Flavor Ramen Noodle Soup","Cup","USA",3.5
"1017",1017,"Samyang Foods","Sutah (SK Version)","Pack","South Korea",3.75
"1018",1018,"Samyang Foods","Ganjjampong","Pack","South Korea",4.25
"1019",1019,"Samyang Foods","Kimchi Ramyun (SK Version)","Pack","South Korea",4
"1020",1020,"Samyang Foods","Nagasaki Jjampong","Bowl","South Korea",4.75
"1021",1021,"Samyang Foods","Beef Flavor Ramyun (SK Version)","Pack","South Korea",4.25
"1022",1022,"HoMyeonDang","Premuim Noodle House Crab Jjampong","Pack","South Korea",5
"1023",1023,"Samyang Foods","Samyang Ramyun","Pack","South Korea",4.5
"1024",1024,"HoMyeonDang","Premium Noodle House Tofu Fried Noodle","Pack","South Korea",3.5
"1025",1025,"Samyang Foods","Hot Chacharoni","Pack","South Korea",3.75
"1026",1026,"Samyang Foods","Bajirak Kalgugsu","Pack","South Korea",3.75
"1027",1027,"Samyang Foods","Yukgaejang Beef Ramyun","Bowl","South Korea",4
"1028",1028,"Samyang Foods","Buldalk Bokkeummyeon (Hot Fried Chicken Ramyun)","Pack","South Korea",4
"1029",1029,"Samyang Foods","Nagasaki Crab Jjampong","Pack","South Korea",5
"1030",1030,"Samyang Foods","60 Ingredients Assorted Vegetable SK Version","Pack","South Korea",3.75
"1031",1031,"HoMyeonDang","Premium Noodle House Don Ramyun","Pack","South Korea",4
"1032",1032,"Mama","Authentic Thai Cuisine Pad Thai","Pack","Thailand",4
"1033",1033,"Nissin","King Cup Noodle BBQ Chicken & Onion","Cup","Japan",3.75
"1034",1034,"Western Family","Instant Noodles In A Cup Spicy Chicken","Cup","Canada",2.25
"1035",1035,"Wei Lih","Spicy Sichuan Flavor Instant Noodle","Bowl","Taiwan",3.5
"1036",1036,"Golden Wheat","Korean Style Spicy Shrimp Noodle Soup","Bowl","China",3.5
"1037",1037,"Emart","Dare You Habanero Jjamppong","Pack","South Korea",4
"1038",1038,"Itomen","Chanponmen","Pack","Japan",4.25
"1039",1039,"Maruchan","Bowl Hot & Spicy Shrimp Flavor Ramen Noodles With Vegetables","Bowl","USA",4.25
"1040",1040,"Western Family","Instant Noodles Vegetable Flavour","Pack","Canada",1
"1041",1041,"Ko-Lee","Instant Noodles Super Chow Mein","Pack","UK",4
"1042",1042,"Nongshim","Potato Pork Ramyun","Pack","China",5
"1043",1043,"Chewy","Rice Vermicelli Satay Chicken","Pack","China",3
"1044",1044,"Nongshim","Shin Ramyun Noodle Spicy Mushroom","Bowl","China",3.25
"1045",1045,"Nissin","Chow Mein Chicken","Tray","USA",3.5
"1046",1046,"Myojo","Stir Fry Noodles Japanese Style Noodles With Sauce","Pack","USA",4
"1047",1047,"New Touch","Yakisoba Noodle","Tray","Japan",4
"1048",1048,"Ottogi","Cheese Bokki","Cup","South Korea",3.5
"1049",1049,"Mr. Noodles","Bowl Beef Simulated Flavor","Bowl","Canada",2
"1050",1050,"Knorr","Japanese Pork Bone Flavour Quick Serve Macaroni","Pack","Hong Kong",3
"1051",1051,"Maruchan","Seimen Japanese Instant Ramen Noodles Soy Sauce Taste","Pack","Japan",3.75
"1052",1052,"A-Sha Dry Noodle","Dry Noodle Hakka Noodle - Chili Sauce","Pack","Taiwan",4.25
"1053",1053,"A-Sha Dry Noodle","Dry Noodle Tainan Noodle - Sesame Sauce","Pack","Taiwan",4
"1054",1054,"A-Sha Dry Noodle","No. 10 Mandarin Noodle - Black Pepper Sauce","Pack","Taiwan",3.75
"1055",1055,"A-Sha Dry Noodle","Dry Noodle QQ Thin Noodle - BBQ Sauce","Pack","Taiwan",5
"1056",1056,"A-Sha Dry Noodle","Dry Noodle Mandarin Noodle - Onion Oil Sauce","Pack","Taiwan",5
"1057",1057,"A-Sha Dry Noodle","Dry Noodle Hakka Noodle - Spicy Sesame Oil Sauce","Pack","Taiwan",3.5
"1058",1058,"A-Sha Dry Noodle","Dry Noodle Mandarin Noodle - Original Sauce","Pack","Taiwan",4
"1059",1059,"Mamee","Oriental Noodles Curry Flavour","Pack","Malaysia",3.25
"1060",1060,"Star Anise Foods","Happy Pho Vietnamese Brown Rice Noodle Soup Garlic Goodness","Pack","USA",3.75
"1061",1061,"Tasty Bite","1 Step-1 Minute Asian Noodles Toasted Sesame","Pack","USA",4
"1062",1062,"Tasty Bite","1 Step-1 Minute Asian Noodles Lemongrass Ginger","Pack","USA",3.75
"1063",1063,"Tasty Bite","1 Step-1 Minute Asian Noodles Thai Basil","Pack","USA",3.75
"1064",1064,"Tasty Bite","1 Step-1 Minute Asian Noodles Mushroom Lo Mein","Pack","USA",4
"1065",1065,"Tasty Bite","1 Step-1 Minute Asian Noodles Kung Pao","Pack","USA",4.25
"1066",1066,"Tasty Bite","1 Step-1 Minute Asian Noodles Pad Thai","Pack","USA",3.5
"1067",1067,"Nissin","Cup Noodle Red Shock","Cup","Japan",3.75
"1068",1068,"Koka","Oriental Instant Noodles Stir Fried Noodles","Pack","Singapore",3.75
"1069",1069,"Nissin","Raoh Rich Miso Flavor","Bowl","Japan",5
"1070",1070,"HoMyeonDang","Premium Noodle House Pork & Seafood Flavor","Pack","South Korea",4
"1071",1071,"Nissin","Raoh Soy Sauce Taste","Pack","Japan",4
"1072",1072,"Deshome","Aloe Noodle With Spicy Soybean Sauce","Pack","Taiwan",4
"1073",1073,"Deshome","Black Eyed Bean Noodle Red Onion Sauce & Sesame Sauce","Pack","Taiwan",3.75
"1074",1074,"Deshome","Pollen Noodles Sesame Sauce & Soy Sauce","Pack","Taiwan",4.25
"1075",1075,"Deshome","Aloe Noodle With Basil Sauce","Pack","Taiwan",5
"1076",1076,"Deshome","Black Eyed Beans Noodle Vegetable Sauce & Sesame Sauce","Pack","Taiwan",3.75
"1077",1077,"Deshome","Aloe Noodle Red Onion & Sesame Sauce","Pack","Taiwan",5
"1078",1078,"Deshome","Black Eyed Beans Noodle Spicy Soybean Sauce & Sesame Sauce","Pack","Taiwan",3.75
"1079",1079,"Deshome","Aloe Noodle Vegetable Sauce","Pack","Taiwan",5
"1080",1080,"Deshome","Black Eyed Beans Noodle Basil Sauce & Sesame Sauce","Pack","Taiwan",3.5
"1081",1081,"Deshome","Aloe Noodle Sesame Sauce","Pack","Taiwan",3.25
"1082",1082,"Indomie","Mi Goreng Cabe Ijo","Pack","Indonesia",4.5
"1083",1083,"Nissin","GooTa Demi Hamburg-Men","Cup","Japan",4.75
"1084",1084,"Mr. Noodles","Noodles In A Cup Chicken Simulated Flavour","Cup","Canada",1.5
"1085",1085,"Vina Acecook","Hao Hao Mi Goreng Shrimp & Onion Flavour","Pack","Vietnam",3.5
"1086",1086,"Sawadee","Indian Curry Flavour","Pack","UK",3
"1087",1087,"MyKuali","Penang White Curry Noodle","Pack","Malaysia",5
"1088",1088,"Amianda","Tachia Dried Noodles - Peppery","Pack","Taiwan",3.75
"1089",1089,"Amianda","Hakka Flat Noodles - Fried Bean Sauce","Pack","Taiwan",4.25
"1090",1090,"Amianda","Dried Noodles - Spicy Sauerkraut","Pack","Taiwan",3.25
"1091",1091,"Amianda","Homely Dried Noodles - Original Flavor ","Pack","Taiwan",4
